,project_id,boro,managing_agcy,orig_bud_amt,city_plan_total,noncity_plan_total,starting_delta,ending_delta,total_cost,cost_delta,costStatus,startStatus,endStatus,city_pct,noncity_pct,majority_funder,budget_usage
0,02200901,MANHATTAN,HEALTH AND HOSPITALS CORP,1329,1570.0,0.0,58,50,1570.0,241.0,Over Budget,Late,Late,1.0,0.0,city,0.18133935289691497
1,02201601,CITYWIDE,HEALTH AND HOSPITALS CORP,0,104661.0,0.0,59,155,104661.0,104661.0,Over Budget,Late,Late,1.0,0.0,city,104661.0
2,02201602,CITYWIDE,HEALTH AND HOSPITALS CORP,8768,58293.0,0.0,83,83,58293.0,49525.0,Over Budget,Late,Late,1.0,0.0,city,5.648380474452555
3,02201723,MANHATTAN,HEALTH AND HOSPITALS CORP,7501,7501.0,0.0,0,0,7501.0,0.0,On Target,On Time,On Time,1.0,0.0,city,1.0
4,02201801,BRONX,HEALTH AND HOSPITALS CORP,7638,7638.49,0.0,0,57,7638.49,0.4899999999997817,Over Budget,On Time,Late,1.0,0.0,city,6.415291961243541e-05
5,02201802,BRONX,HEALTH AND HOSPITALS CORP,840,840.45,0.0,-10,-11,840.45,0.4500000000000455,Over Budget,Early,Early,1.0,0.0,city,0.0005357142857143398
6,02201804,QUEENS,HEALTH AND HOSPITALS CORP,2874,2874.0,0.0,11,105,2874.0,0.0,On Target,Late,Late,1.0,0.0,city,1.0
7,02201805,MANHATTAN,HEALTH AND HOSPITALS CORP,866,866.45,0.0,23,23,866.45,0.4500000000000455,Over Budget,Late,Late,1.0,0.0,city,0.0005196304849885052
8,02201901,MANHATTAN,HEALTH AND HOSPITALS CORP,4403,30247.0,0.0,0,0,30247.0,25844.0,Over Budget,On Time,On Time,1.0,0.0,city,5.869634340222576
9,02202101,CITYWIDE,HEALTH AND HOSPITALS CORP,3554,3554.0,0.0,142,156,3554.0,0.0,On Target,Late,Late,1.0,0.0,city,1.0
10,022021PM,CITYWIDE,HEALTH AND HOSPITALS CORP,5000,5000.0,0.0,27,11,5000.0,0.0,On Target,Late,Late,1.0,0.0,city,1.0
11,11200912,MANHATTAN,HEALTH AND HOSPITALS CORP,577,577.0,0.0,3,0,577.0,0.0,On Target,Late,On Time,1.0,0.0,city,1.0
12,11201001,MANHATTAN,HEALTH AND HOSPITALS CORP,3200,3200.0,0.0,0,0,3200.0,0.0,On Target,On Time,On Time,1.0,0.0,city,1.0
13,11201601,MANHATTAN,HEALTH AND HOSPITALS CORP,2033,2033.36,0.0,0,0,2033.36,0.35999999999989996,Over Budget,On Time,On Time,1.0,0.0,city,0.00017707820954249875
14,11201705,MANHATTAN,HEALTH AND HOSPITALS CORP,886,4624.0,0.0,0,0,4624.0,3738.0,Over Budget,On Time,On Time,1.0,0.0,city,4.218961625282167
15,11201803,MANHATTAN,HEALTH AND HOSPITALS CORP,1046,1632.0,0.0,0,0,1632.0,586.0,Over Budget,On Time,On Time,1.0,0.0,city,0.5602294455066922
16,11201901,MANHATTAN,HEALTH AND HOSPITALS CORP,700,700.0,0.0,0,0,700.0,0.0,On Target,On Time,On Time,1.0,0.0,city,1.0
17,11201903,MANHATTAN,HEALTH AND HOSPITALS CORP,951,1122.0,0.0,0,0,1122.0,171.0,Over Budget,On Time,On Time,1.0,0.0,city,0.17981072555205047
18,11201904,MANHATTAN,HEALTH AND HOSPITALS CORP,796,1259.0,0.0,0,0,1259.0,463.0,Over Budget,On Time,On Time,1.0,0.0,city,0.5816582914572864
19,11202001,MANHATTAN,HEALTH AND HOSPITALS CORP,261,261.0,0.0,0,0,261.0,0.0,On Target,On Time,On Time,1.0,0.0,city,1.0
20,11202101,MANHATTAN,HEALTH AND HOSPITALS CORP,940,972.0,0.0,0,13,972.0,32.0,Over Budget,On Time,Late,1.0,0.0,city,0.03404255319148936
